product_title,product_id,variant_id,sku,price,product_collection,title_equals_collection,published_at,product_count_match,handle,slugified_title,handle_ok,template_suffix,product_status
Floral Flow - 5 Items,Brooklyn Sport Bra (Neutral Watercolor),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Floral Flow - 5 Items,Marble Massager (Shell Coral),Accessories,not-for-sale,Size,,1,active,TRUE,TRUE,,,,
Floral Flow - 5 Items,Printed Easy Ankle (Neutral Watercolor),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Floral Flow - 5 Items,Tabby Long Sleeve (Chateau Grey),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Floral Flow - 5 Items,Therapy Bands (3),Equipment,not-for-sale,Size,1,,active,TRUE,TRUE,,,,
Heather Weather - 2 Items,After Class Hoodie (Trooper),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Heather Weather - 2 Items,Solace Legging (H. Troopers),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Heather Weather - 3 Items,After Class Hoodie (Trooper),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Heather Weather - 3 Items,Ellen Long Bra (Black),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Heather Weather - 3 Items,Solace Legging (H. Troopers),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Heather Weather - 5 Items,After Class Hoodie (Trooper),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Heather Weather - 5 Items,Ellen Long Bra (Black),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Heather Weather - 5 Items,Marble Massager (Shell Coral),Accessories,not-for-sale,Size,,1,active,TRUE,TRUE,,,,
Heather Weather - 5 Items,Solace Legging (H. Troopers),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Heather Weather - 5 Items,Therapy Bands (3),Equipment,not-for-sale,Size,1,,active,TRUE,TRUE,,,,
Make Waves - 2 Items,Sammy Legging (Colonial Blue),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Make Waves - 2 Items,Sonia Hoodie (H. Granite Green),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Make Waves - 3 Items,Sammy Legging (Colonial Blue),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Make Waves - 3 Items,Sonia Hoodie (H. Granite Green),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Make Waves - 3 Items,Violet Long Bra (Colonial Blue),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Make Waves - 5 Items,Marble Massager (Shell Coral),Accessories,not-for-sale,Size,,1,active,TRUE,TRUE,,,,
Make Waves - 5 Items,Sammy Legging (Colonial Blue),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Make Waves - 5 Items,Sonia Hoodie (H. Granite Green),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Make Waves - 5 Items,Therapy Bands (3),Equipment,not-for-sale,Size,1,,active,TRUE,TRUE,,,,
Make Waves - 5 Items,Violet Long Bra (Colonial Blue),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Pinot Noir - 2 Items,Breathe Twist Long Sleeve (Boisenberry),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Pinot Noir - 2 Items,Jogger Legging (Shark),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Pinot Noir - 3 Items,Breathe Twist Long Sleeve (Boisenberry),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Pinot Noir - 3 Items,Jogger Legging (Shark),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Pinot Noir - 3 Items,Milan Seamless Sport Bra (Boisenberry),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Pinot Noir - 5 Items,Breathe Twist Long Sleeve (Boisenberry),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Pinot Noir - 5 Items,Jogger Legging (Shark),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Pinot Noir - 5 Items,Marble Massager (Shell Coral),Accessories,not-for-sale,Size,,1,active,TRUE,TRUE,,,,
Pinot Noir - 5 Items,Milan Seamless Sport Bra (Boisenberry),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Pinot Noir - 5 Items,Therapy Bands (3),Equipment,not-for-sale,Size,1,,active,TRUE,TRUE,,,,
Ride Or Dye - 2 Items,Tie Dye Hoodie (Hadley Tie Dye),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
